Item_ID,รายการสินค้า,จำนวน,มูลค่าต่อหน่วย,มูลค่ารวม
1,ดินสอ,2927,2238.17,6551132.21
2,ปากกาลูกลื่น,227,570.62,129529.73
3,ยางลบ,2672,532.49,1422818.5
4,ดินสอ,2368,3511.05,8314163.89
5,ดินสอ,4652,1136.89,5288809.29
6,สมุดโน้ต,4769,400.42,1909615.82
7,ยางลบ,2586,1354.72,3503304.09
8,ปากกาลูกลื่น,3439,703.88,2420634.73
9,ดินสอ,2704,2105.09,5692157.19
10,สมุดโน้ต,2303,111.71,257277.76
11,ยางลบ,444,3044.74,1351863.6
12,ดินสอ,3318,3728.79,12372109.72
13,ปากกาลูกลื่น,9,3002.93,27026.39
14,ยางลบ,300,2935.72,880714.51
15,003 / เครื่องฟอกอากาศ,4136,1536.18,6353639.24
16,ดินสอ,1373,3080.19,4229103.26
17,ยางลบ,1411,1041.86,1470070.87
18,สมุดโน้ต,2753,4261.52,11731973.85
19,003 / เครื่องฟอกอากาศ,1537,3814.04,5862180.9
20,ยางลบ,383,216.64,82972.91
21,ดินสอ,251,24.21,6077.86
22,สมุดโน้ต,3509,3600.16,12632945.79
23,ดินสอ,1636,69.14,113115.65
24,ดินสอ,285,4326.05,1232924.48
25,ปากกาลูกลื่น,2320,855.25,1984179.55
26,ดินสอ,303,4455.67,1350066.82
27,003 / เครื่องฟอกอากาศ,712,788.89,561690.4
28,สมุดโน้ต,1116,3891.91,4343367.23
29,ดินสอ,2992,2540.71,7601815.08
30,003 / เครื่องฟอกอากาศ,3563,4316.35,15379145.2
31,ยางลบ,187,3487.41,652145.76
32,ปากกาลูกลื่น,3582,3605.95,12916503.57
33,ดินสอ,2263,2660.47,6020648.62
34,ยางลบ,1674,4384.57,7339770.48
35,003 / เครื่องฟอกอากาศ,818,2552.81,2088200.67
36,สมุดโน้ต,4843,4207.8,20378383.22
37,003 / เครื่องฟอกอากาศ,4525,3603.27,16304797.75
38,ดินสอ,4908,691.05,3391686.66
39,ยางลบ,4932,3926.79,19366912.84
40,ดินสอ,2217,2032.78,4506679.02
41,สมุดโน้ต,2712,4139.41,11226091.61
