documentDate,Date,documentNo,billTName,dueDate,product,productQuantity,totalPrice,Price per unit,productCost,Cost per unit,grossProfit,unit,lotNo
2024-01-01,2024-01-01,DO-0012/8215,ลูกค้าต่างประเทศ,2024-04-02,ดินสอ,999,4909447.85,4914.36,3765766.41,3769.54,23.3,PKG : แพ็ค,
2024-01-02,2024-01-02,DO-0008/6498,ลูกค้าเงินสด,2024-01-21,สมุดโน้ต,420,2046763.4,4873.25,1832419.96,4362.9,10.47,PKG : แพ็ค,
2024-01-03,2024-01-03,DO-0002/6653,ลูกค้าต่างประเทศ,2024-05-19,สมุดโน้ต,676,3112765.63,4604.68,2375037.24,3513.37,23.7,UNIT : ขวด,
2024-01-04,2024-01-04,DO-0010/0249,ลูกค้าต่างประเทศ,2024-06-07,ปากกาลูกลื่น,208,545099.25,2620.67,354210.21,1702.93,35.02,UNIT : ขวด,
2024-01-05,2024-01-05,DO-0009/2750,ลูกค้าเงินสด,2024-10-22,สมุดโน้ต,932,3752087.37,4025.84,2415418.25,2591.65,35.62,PKG : แพ็ค,
2024-01-06,2024-01-06,DO-0005/3510,ลูกค้าต่างประเทศ,2024-07-27,ดินสอ,195,561105.56,2877.46,423200.29,2170.26,24.58,PKG : แพ็ค,
2024-01-07,2024-01-07,DO-0008/0135,ลูกค้าสัญญา,2024-01-12,ดินสอ,689,194902.61,282.88,164041.97,238.09,15.83,UNIT : ขวด,
2024-01-08,2024-01-08,DO-0012/8077,ลูกค้าเงินสด,2024-10-17,สมุดโน้ต,307,892610.01,2907.52,750397.75,2444.29,15.93,G : กรัม,
2024-01-09,2024-01-09,DO-0004/1465,ลูกค้าสัญญา,2024-04-03,003 / เครื่องฟอกอากาศ,422,1294995.33,3068.71,981455.97,2325.73,24.21,UNIT : ขวด,
2024-01-10,2024-01-10,DO-0009/9051,ลูกค้าเงินสด,2024-09-16,003 / เครื่องฟอกอากาศ,737,74159.98,100.62,60035.39,81.46,19.05,PKG : แพ็ค,
2024-01-11,2024-01-11,DO-0005/3213,ลูกค้าต่างประเทศ,2024-05-06,สมุดโน้ต,136,252877.69,1859.39,180753.78,1329.07,28.52,G : กรัม,
2024-01-12,2024-01-12,DO-0005/7947,ลูกค้าสัญญา,2024-04-02,003 / เครื่องฟอกอากาศ,750,27825.05,37.1,20596.41,27.46,25.98,G : กรัม,
2024-01-13,2024-01-13,DO-0002/0416,ลูกค้าสัญญา,2024-10-31,003 / เครื่องฟอกอากาศ,96,150646.1,1569.23,92337.24,961.85,38.71,PKG : แพ็ค,
2024-01-14,2024-01-14,DO-0011/8738,ลูกค้าเงินสด,2024-11-27,ยางลบ,590,1681851.65,2850.6,1139013.63,1930.53,32.28,G : กรัม,
2024-01-15,2024-01-15,DO-0011/0957,ลูกค้าเงินสด,2024-12-12,ดินสอ,117,408753.74,3493.62,334167.82,2856.14,18.25,G : กรัม,
