documentDate,Date,documentNo,billTName,dueDate,product,productQuantity,totalPrice,Price per unit,productCost,Cost per unit,grossProfit,unit,lotNo
2020-01-01,2020-01-01,DO-0004/8035,ลูกค้าต่างประเทศ,2020-12-27,สินค้า_5,258,940873.16,3646.8,785737.05,3045.49,16.49,G : กรัม,
2020-01-01,2020-01-01,DO-0006/3558,ลูกค้าต่างประเทศ,2020-09-15,สินค้า_2,118,296158.34,2509.82,224209.14,1900.08,24.29,UNIT : ขวด,
2020-01-01,2020-01-01,DO-0012/1939,ลูกค้าสัญญา,2020-03-29,สินค้า_7,991,1830912.81,1847.54,1269828.7,1281.36,30.65,G : กรัม,
2020-01-01,2020-01-01,DO-0010/5061,ลูกค้าเงินสด,2020-03-15,สินค้า_8,621,595075.85,958.25,499553.76,804.43,16.05,PKG : แพ็ค,
2020-01-01,2020-01-01,DO-0008/2730,ลูกค้าเงินสด,2020-05-04,สินค้า_2,749,1651194.14,2204.53,1346129.32,1797.24,18.48,UNIT : ขวด,
2020-01-01,2020-01-01,DO-0006/1123,ลูกค้าเงินสด,2020-05-05,สินค้า_10,669,202342.51,302.46,145763.83,217.88,27.96,PKG : แพ็ค,
2020-01-02,2020-01-02,DO-0004/7180,ลูกค้าสัญญา,2020-06-30,สินค้า_4,652,1326124.39,2033.93,823461.93,1262.98,37.9,PKG : แพ็ค,
2020-01-02,2020-01-02,DO-0008/9687,ลูกค้าต่างประเทศ,2020-03-17,สินค้า_4,140,154388.61,1102.78,111450.25,796.07,27.81,G : กรัม,
2020-01-02,2020-01-02,DO-0009/7477,ลูกค้าเงินสด,2020-08-21,สินค้า_8,584,2123686.49,3636.45,1452912.75,2487.86,31.59,G : กรัม,
2020-01-02,2020-01-02,DO-0007/2893,ลูกค้าเงินสด,2020-12-09,สินค้า_1,923,682567.25,739.51,499078.51,540.71,26.88,UNIT : ขวด,
2020-01-02,2020-01-02,DO-0001/0991,ลูกค้าต่างประเทศ,2020-05-01,สินค้า_3,310,1021529.22,3295.26,895726.57,2889.44,12.32,UNIT : ขวด,
2020-01-03,2020-01-03,DO-0003/3754,ลูกค้าเงินสด,2020-05-13,สินค้า_5,67,26541.32,396.14,17158.3,256.09,35.35,UNIT : ขวด,
2020-01-03,2020-01-03,DO-0012/3454,ลูกค้าเงินสด,2020-04-08,สินค้า_5,606,388631.12,641.31,344915.46,569.17,11.25,G : กรัม,
2020-01-03,2020-01-03,DO-0006/0667,ลูกค้าต่างประเทศ,2020-01-08,สินค้า_9,770,814902.9,1058.32,718748.1,933.44,11.8,UNIT : ขวด,
2020-01-03,2020-01-03,DO-0008/9783,ลูกค้าเงินสด,2020-12-17,สินค้า_7,869,1839240.89,2116.5,1528213.76,1758.59,16.91,G : กรัม,
2020-01-03,2020-01-03,DO-0005/7607,ลูกค้าต่างประเทศ,2020-04-02,สินค้า_6,626,2832827.57,4525.28,2395162.42,3826.14,15.45,PKG : แพ็ค,
2020-01-03,2020-01-03,DO-0003/7514,ลูกค้าต่างประเทศ,2020-06-22,สินค้า_4,687,1363921.32,1985.33,1046684.74,1523.56,23.26,UNIT : ขวด,
2020-01-04,2020-01-04,DO-0006/8447,ลูกค้าเงินสด,2020-09-21,สินค้า_8,335,1451277.49,4332.17,1293658.85,3861.67,10.86,PKG : แพ็ค,
2020-01-04,2020-01-04,DO-0007/8450,ลูกค้าเงินสด,2020-08-30,สินค้า_8,463,1605065.88,3466.66,1145685.82,2474.48,28.62,G : กรัม,
2020-01-04,2020-01-04,DO-0006/0992,ลูกค้าต่างประเทศ,2020-04-21,สินค้า_4,665,1072664.15,1613.03,704822.22,1059.88,34.29,G : กรัม,
2020-01-04,2020-01-04,DO-0012/0382,ลูกค้าสัญญา,2020-04-25,สินค้า_6,200,821720.97,4108.6,529633.89,2648.17,35.55,G : กรัม,
2020-01-04,2020-01-04,DO-0008/0602,ลูกค้าต่างประเทศ,2020-04-05,สินค้า_7,501,2190885.99,4373.03,1375866.41,2746.24,37.2,G : กรัม,
2020-01-05,2020-01-05,DO-0003/9184,ลูกค้าสัญญา,2020-08-24,สินค้า_4,969,727073.47,750.33,484277.79,499.77,33.39,G : กรัม,
2020-01-05,2020-01-05,DO-0009/4570,ลูกค้าต่างประเทศ,2020-11-21,สินค้า_1,405,630806.59,1557.55,388091.15,958.25,38.48,UNIT : ขวด,
2020-01-05,2020-01-05,DO-0004/8638,ลูกค้าสัญญา,2020-04-13,สินค้า_6,209,39695.85,189.93,28403.87,135.9,28.45,G : กรัม,
2020-01-05,2020-01-05,DO-0011/3071,ลูกค้าเงินสด,2020-08-21,สินค้า_4,870,3354624.84,3855.89,2789961.09,3206.85,16.83,G : กรัม,
2020-01-05,2020-01-05,DO-0007/5999,ลูกค้าต่างประเทศ,2020-04-02,สินค้า_5,49,161427.89,3294.45,142807.7,2914.44,11.53,G : กรัม,
2020-01-05,2020-01-05,DO-0011/2619,ลูกค้าต่างประเทศ,2020-06-23,สินค้า_4,67,71887.95,1072.95,59482.12,887.79,17.26,G : กรัม,
2020-01-06,2020-01-06,DO-0003/2181,ลูกค้าสัญญา,2020-11-23,สินค้า_7,216,1031390.51,4774.96,813221.4,3764.91,21.15,UNIT : ขวด,
2020-01-06,2020-01-06,DO-0012/4176,ลูกค้าเงินสด,2020-04-27,สินค้า_6,711,2217043.05,3118.2,1439696.22,2024.89,35.06,UNIT : ขวด,
2020-01-06,2020-01-06,DO-0006/1499,ลูกค้าเงินสด,2020-08-14,สินค้า_7,567,2499794.72,4408.81,1616698.38,2851.32,35.33,PKG : แพ็ค,
2020-01-06,2020-01-06,DO-0007/2486,ลูกค้าต่างประเทศ,2020-08-12,สินค้า_10,95,31133.93,327.73,27814.67,292.79,10.66,G : กรัม,
2020-01-06,2020-01-06,DO-0007/3303,ลูกค้าสัญญา,2020-09-25,สินค้า_10,371,736616.16,1985.49,582566.4,1570.26,20.91,UNIT : ขวด,
2020-01-07,2020-01-07,DO-0012/4113,ลูกค้าต่างประเทศ,2020-05-20,สินค้า_10,923,3594809.97,3894.7,2780600.58,3012.57,22.65,G : กรัม,
2020-01-07,2020-01-07,DO-0003/5321,ลูกค้าสัญญา,2020-09-14,สินค้า_3,116,312602.37,2694.85,233145.85,2009.88,25.42,PKG : แพ็ค,
2020-01-07,2020-01-07,DO-0012/7114,ลูกค้าต่างประเทศ,2020-04-16,สินค้า_10,620,2315069.1,3733.98,1603156.69,2585.74,30.75,PKG : แพ็ค,
2020-01-07,2020-01-07,DO-0002/5998,ลูกค้าเงินสด,2020-09-08,สินค้า_4,703,3194419.76,4543.98,2870784.3,4083.62,10.13,UNIT : ขวด,
2020-01-07,2020-01-07,DO-0010/6787,ลูกค้าเงินสด,2020-02-08,สินค้า_3,244,479106.15,1963.55,378495.16,1551.21,21.0,UNIT : ขวด,
2020-01-07,2020-01-07,DO-0006/2603,ลูกค้าเงินสด,2020-08-01,สินค้า_7,280,728843.05,2603.01,448776.42,1602.77,38.43,UNIT : ขวด,
2020-01-08,2020-01-08,DO-0004/9846,ลูกค้าเงินสด,2020-11-23,สินค้า_7,731,3136612.08,4290.85,2321898.06,3176.33,25.97,UNIT : ขวด,
